layer,mean_target_logit_bt,mean_target_logit_control,std_bt,std_control,n_bt,n_control,control_matching
0,1.042431640625,2.2996160333806817,4.067162530694862,2.5361970157819784,120,88,position_matched
1,0.48186848958333334,1.1526655717329546,3.931096636124971,2.2726411706809126,120,88,position_matched
2,1.159600830078125,1.357240156693892,3.9945589713621352,2.194287203888124,120,88,position_matched
3,0.6274495442708333,1.1895176280628552,4.243467251505628,2.4122222425813162,120,88,position_matched
4,1.4335774739583333,1.5465365323153408,3.571106165773586,2.4432370889270816,120,88,position_matched
5,1.638580322265625,1.0707425204190342,3.504419177265595,2.416016075308367,120,88,position_matched
6,1.999853515625,1.0662009499289773,3.1014252247705247,2.6776672639602714,120,88,position_matched
7,2.7337356567382813,1.2896562056107954,4.0540716296222055,2.6762593505243997,120,88,position_matched
8,2.845359293619792,1.155426025390625,3.9300319207074157,2.6099784052349837,120,88,position_matched
9,2.914162190755208,0.9118971391157671,3.9543894663360115,2.6163183330506654,120,88,position_matched
10,2.4288612365722657,1.056789051402699,4.122445820773554,2.4651704234991754,120,88,position_matched
11,3.0791748046875,1.17596435546875,4.353376613712857,2.4629692411345916,120,88,position_matched
12,3.337563069661458,1.0277030251242898,4.250399649532903,2.4259612020665284,120,88,position_matched
13,3.3599283854166666,0.8365707397460938,3.903813495745343,2.255669598466531,120,88,position_matched
14,3.333512369791667,0.7450284090909091,4.02430383850887,2.2343627136366764,120,88,position_matched
15,3.463090006510417,0.7978806929154829,3.6650234961471475,2.2960813141181586,120,88,position_matched
16,4.406937662760416,0.9604422829367898,3.8423421303403464,2.221542169530341,120,88,position_matched
17,5.9750732421875,1.2160921963778408,3.8988594333191497,2.097924857067643,120,88,position_matched
18,7.2173828125,1.5894886363636365,3.717269609047388,2.211774561046955,120,88,position_matched
19,8.751171875,1.0078235973011365,3.7914127833296813,1.9993466345618511,120,88,position_matched
20,9.807161458333333,1.0628745339133523,3.9709626556282127,2.0531831074198736,120,88,position_matched
21,10.346875,1.1968439275568181,4.135851309190552,1.9028821372915532,120,88,position_matched
22,12.194791666666667,0.9127003062855114,4.931589067257258,1.8308671864014405,120,88,position_matched
23,13.796354166666667,0.406005859375,4.426291812171346,1.9225074305709426,120,88,position_matched
24,16.922916666666666,0.3334843028675426,5.108560712252554,2.0792811603291224,120,88,position_matched
25,18.6375,0.7235502763227983,3.7001288161768806,2.266981795474402,120,88,position_matched
26,18.766666666666666,0.6278755881569602,2.863419008347704,2.3423415659038085,120,88,position_matched
27,24.361979166666668,6.939874822443182,3.308775810327393,5.323832161539359,120,88,position_matched
